2025-05-31,fix: double initiate player
2025-05-31,feat: some push
2025-05-31,fix: bug Movement Cooking
2025-05-31,feat : adding Document
2025-05-31,feat: Conversation
2025-05-31,fix : fixing Bugs:
2025-05-31,fix: collision on asset is now smoother
2025-05-31,feat : add Store Area
2025-05-31,feat: add README
2025-05-31,feat: add import
2025-05-31,feat: add Store
2025-05-31,feat: add Store
2025-05-31,fix: bug on auto interact
2025-05-31,feat: add location Display
2025-05-31,fix: wrong fxml file
2025-05-31,feat: add main menu button, credit
2025-05-31,fix : updating House for Cooking
2025-05-31,feat: add all time for actions
2025-05-31,feat: add time update for a few actions
2025-05-31,feat: add Bin Logics
2025-05-31,feat : adding Fishing Area on worldMap
2025-05-31,feat: add new multiple cooking
2025-05-31,fix: NPC Houses & Store Position
2025-05-31,feat: add working fishing interface (bug: fishing process still happens when it's time to sleep
2025-05-31,refactor!: change multiple option logic with new lambda accepting handler for better modularity and scalability
2025-05-31,feat: finish Logics of Recipe Barrier
2025-05-31,feat: tried to implement bin
2025-05-31,feat: added new Inventory Fish Logics and Cooking
2025-05-31,feat: add new Logics for Inventory fetch
2025-05-30,fix: bug on different Package bin and main
2025-05-30,feat
2025-05-30,feat: add Coking
2025-05-30,feat: adding NPC in their Houses and logic Area
2025-05-30,feat: gifting logics
2025-05-30,feat: remove emoji
2025-05-30,feat: add new fishing and itemregistry logics
2025-05-30,feat: finish Eating Logics
2025-05-30,feat: add new Cooking logics
2025-05-30,fix: import wrong deploys
2025-05-30,feat: add GUI for fishing, integrate with japrul logic soon
2025-05-30,feat: add auto deselect onHand and deploys
2025-05-30,feat: somethin
2025-05-30,refactor!: move panelController use to action for complex actions
2025-05-30,fix: watering land on rain problem and npc interaction notification not shown
2025-05-30,fix: double watering problem
2025-05-30,feat: farming logic now integrated with time, watering logic fix
2025-05-30,feat: add Recipe, Cooking Logics, Player O
2025-05-30,feat: add untilling
2025-05-29,fix: double energy cost for multiple input
2025-05-29,fix: polish panel logic and toggle logic
2025-05-29,fix: fix harvest item addition
2025-05-29,feat: add new itemSprite
2025-05-29,refactor!: separate multiple path from action logic by using toggle logic
2025-05-29,feat: add notification panel
2025-05-29,fix: player teleportation logic, teleportation now requires destination coordinate to prevent multiple destination coordinate in one map problem
2025-05-29,feat: add panelController
2025-05-29,feat: add new Deselect Hotbar
2025-05-29,feat: add new Starter Item
